BuildingNumber	GradeTested	ReadingPercentMet	MathPercentMet	WritingPercentMet	SciencePercentMet
3545	8	66	57.5		68
3996	3	66.3	60.7		
3996	4	71.1	42.2	56.7	
3997	5	73.8	75		86
3997	6	79.3	67.6		
3997	7	80.6	71.8	78.6	
3997	8	67.5	65.8		77.8
4104	10	87.3		81	
4144	3	67	64.3		
4144	4	57	41	57.1	
4351	5	56	34.5		56
4351	6	69.5	53.3		
4351	7	77.8	44.4	67.6	
4351	8	78	46.6		66.9
4352	3	73	78.5		
4352	4	74.8	67.1	70.7	
4450	10	61		70	
2390	10	87.1		86	
3321	3	86.5	87.8		
3321	4	91.9	89.2	87.7	
3321	5	93.3	90.5		87.8
3321	6	80.9	80.9		
3786	3	82.7	82.5		
3786	4	75.5	66.3	48.5	
3786	5	77	75		77
3786	6	71	72		
3891	7	78.9	70.8	73.9	
3891	8	79.1	67.4		75
2302	7	70.5	52.3	63.6	
2302	8	65.6	40.6		75
2302	10	79.4		84.8	
2830	3	84.4	78.1		
2830	4	100	65	66.7	
2830	5	48.8	28.6		71.4
2830	6	46.4	35.7		
2135	3				
2135	4				
2135	5				
2135	6				
2135	7				
2135	8				
2319	3	52.2	30.4		
2319	4	56.4	20.5	38.5	
2319	5	44.9	41.7		43.8
2369	3	59	56.4		
2369	4	79.7	54.2	76.3	
2369	5	79.4	70.6		77.9
2370	3	50	39.2		
2370	4	31.4	21.6	15.7	
2370	5	50	40.5		40.5
2416	10	76.2		85.1	
2726	3	46.7	36.7		
2726	4	66.7	48.8	57.1	
2726	5	61.5	48.1		65.4
2831	6	65.5	37.9		
2831	7	55.2	53.9	75	
2831	8	50.7	29.9		53.7
2914	3	66	63.8		
2914	4	61.2	38.8	36.7	
2914	5	73.6	58.5		71.7
3019	3	64.2	63.2		
3019	4	74	46	57	
3019	5	74.8	66.4		72
3151	10	78.2		86.9	
3211	3	64	78		
3211	4	77.8	50.8	63.5	
3211	5	67.2	59.4		59.4
3475	6	63.8	35.3		
3475	7	64.1	48.2	66	
3475	8	65.6	51.3		64.4
3658	3	60	72.3		
3658	4	55.7	43	42.3	
3658	5	55.6	55.6		45.8
2560	7	74.1	48.1	60.4	
2560	8	55.2	34.5		56.1
2560	10	87.5		91.2	
4264	3	57.1	57.1		
4264	4	72	40	68	
4264	5	75	50		69.4
4264	6	70	70		
2281	10	82.2		79.6	
2762	3	40.7	24.8		
2762	4	59.3	54	57.1	
2762	5	54.5	55.9		60.8
2762	6	48.5	37.6		
3969	7	63.4	47	65.3	
3969	8	51.4	31.1		53.8
3969	10				
2561	6	59.8	44.8		
2561	7	66.7	43.9	71.2	
2561	8	69.9	46.6		75.3
2561	10	81.5		83.8	
2915	3	59.6	59.6		
2915	4	53.7	53.7	39	
2915	5	58.8	48.5		67.6
1795	10			59.1	
3513	3				
3513	4				
3513	5				
3514	3	82.8	68.9		
3514	7				
3546	10	88		89.2	
3824	7	71.8	68.6	76.1	
3824	8	72.6	65.5		73.9
4176	4	79.4	55.2	70.9	
4176	5	68.3	65.5		73.4
4176	6	81.9	77.4		
2266	10	80.4		80.9	
2596	3	72.7	63.6		
2596	4	50	37.5	37.5	
2596	5	78.1	46.9		75
2624	3	55.6	39.7		
2624	4	65.4	40.4	40.4	
2624	5	71.2	45.8		61
2691	3	73.7	68.4		
2691	4	79.5	61.5	61.5	
2691	5	62.1	58.6		57.1
2913	3	77.3	100		
2913	4	84	68	80	
2913	5	79.3	89.7		86.2
2916	6	62.9	36.6		
2916	7	67.2	51.4	75.3	
2916	8	65.2	39.6		67.9
3082	3	73.9	60.9		
3082	4	82.2	82.2	66.7	
3082	5	78.3	71		76.8
3322	6	63.7	54.8		
3322	7	69.5	64.9	69	
3322	8	65.7	58.8		78.5
3323	3	55.8	51.9		
3323	4	61.1	46.3	47.3	
3323	5	54.5	34.5		34.5
3578	3	62.9	72.2		
3578	4	62.9	61.9	43.3	
3578	5	56.3	62.1		57.5
2666	3	37.5	29.2		
2666	4	43.3	23.3	13.3	
2666	5	54.5	45.5		54.5
2666	6	62.1	37.9		
2666	7	54.5	40.9	90.5	
2562	3	50	44.8		
2562	4	31.6	31.6	49.1	
2562	5	31.4	22.9		21.4
2788	8				
2788	10	69		78.6	
4213	6	50	48.4		
4213	7	52.5	54.8	41	
4213	8	36.8	54.4		45.6
2502	3				
2502	4				
2502	5				
2563	3	82.5	72.5		
2563	4	80	62.5	63.6	
2727	6				
2727	10	77.9		82.6	
2966	3	64.6	50.6		
2966	4	65.5	42.5	64.4	
3083	3	63.2	71.6		
3083	4	78.6	67.9	58.3	
3212	3	75.7	73		
3212	4	81	56	83.3	
3372	7				
3372	8	66.5	49		60.2
3372	10				
3659	3	59.6	60.6		
3659	4	77.2	53.5	66.3	
3659	5				
3659	8				
4095	5	76.3	57.5		68
4095	6	68.9	45.5		
4095	7	79.6	61.7	83.2	
2233	3				
2233	4				
2233	5				
2233	6				
2233	7				
2233	8				
2233	10				
2161	3	61.1	38.9		
2161	4	81.8	63.6	90.9	
2161	5	57.1	52.4		61.9
2161	6	36.4	50		
2162	7	38.9	55.6	38.9	
2162	8	48.6	37.1		55.6
2162	10	78.1		81.3	
2602	3				
2602	4				
2602	5				
2602	6				
2006	3	75	30		
2006	4	76.9	23.1	53.8	
2006	5	41.7	33.3		41.7
2006	6	75	25		
2006	7	72.2	11.1	27.8	
2006	8	82.4	38.9		55.6
2006	10	80		86.7	
2136	4				
2136	5				
2136	6				
2136	7				
2136	8				
2603	10	50		91.7	
2789	3	67.9	67.9		
2789	4	76	56	52	
2789	5	78.3	82.6		87
3579	10	84.2		100	
2267	6	70.4	64.3		
2267	7	68.7	53.8	71	
2267	8	68.6	51		59.8
2790	3	31.4	67.6		
2790	4	36.6	43	36.6	
2790	5	36.6	37.6		23.8
2917	10	69.2		73	
2967	3	26.9	30.8		
2967	4	32.7	24.3	20.6	
2967	5	47.4	50.5		41.1
3085	3	47.6	54.7		
3085	4	50.5	50	49	
3085	5	44.1	50		34.7
3324	6	56	47.7		
3324	7	43.7	40.5	48.4	
3324	8	45.1	24.6		36.5
3425	3	79.7	81.3		
3425	4	80	86.7	62.2	
3425	5	76.8	75		58.2
3515	3	42.6	54.1		
3515	4	46.8	38.3	35.1	
3515	5	53.5	45.7		46.5
3912	7				
3912	8				
3912	10	38.1		26.3	
4041	3	81.7	81.7		
4041	4	74.6	72.5	64.8	
4041	5	87.3	86.6		90.6
4155	3	60.1	60.1		
4155	4	87	68.7	74	
4155	5	74	72.5		68.7
4526	3	20.5	22.7		
4526	4	42.7	24.8	38.5	
4526	5	57.1	47.6		57.1
4555	3	24.8	24.6		
4555	4	51.3	47.8	31	
4555	5	41.4	31.5		18
1754	8				
1754	10				
2198	7	50.3	45.2	60.5	
2198	8	52.5	38.3		42.3
2918	3	62.9	46.8		
2918	4	77.2	54.4	59.6	
2918	5	62.3	52.6		44.2
2918	6	62.2	58.1		
3086	3	52.4	50		
3086	4	41.7	33.3	41.7	
3086	5	61.9	52.4		61.9
3086	6	68.2	59.1		
3272	10	76.9		85.9	
3325	3	42.4	47		
3325	4	49.3	28.4	49.3	
