,School_ID,School District,School,Enrollment,LowSES
,1776,Grandview School District,Contract Learning Center,65,83.08
,5225,Selkirk School District,Selkirk Middle School,65,53.13
,4558,Orcas Island School District,Orcas Island Middle School,66,52.54
,5268,Mead School District,Riverpoint Academy,66,31.75
,2010,Satsop School District,Satsop Elementary,67,65
,1667,Shoreline School District,Handicapped Contractual Services,68,12.5
,1733,North Kitsap School District,Pal Program,68,21.79
,3559,Republic School District,Republic Junior High,68,61.11
,1822,Vashon Island School District,Family Link,69,8.82
,1904,Snohomish School District,Parent Partnerhip,69,22.54
,1687,Lake Washington School District,Explorer Community School,70,2.86
,3855,Lake Washington School District,Emerson High School,70,43.53
,5146,Onalaska School District,CVA - Onalaska,70,19.05
,1808,Seattle Public Schools,Experimental Education Unit,71,0
,1841,Bainbridge Island School District,Mosaic Home Education Partnership,71,1.39
,3580,Taholah School District,Taholah High School,71,73.02
,5288,Bethel School District,Birth to Three,72,0
,1658,Lake Washington School District,Discovery School,73,2.74
,2634,Palouse School District,Palouse High School,73,21.74
,3075,Washtucna School District,Washtucna Elementary/High School,73,42.25
,3856,Lake Washington School District,Community School,73,2.74
,5217,Wellpinit School District,Wellpinit Alliance -Columbia Basin J.C.,73,37.14
,1612,Wenatchee School District,Skill Source,74,40.38
,5004,Stanwood-Camano School District,Saratoga School,74,7.04
,1919,Riverside School District,Independent Scholar,75,67.9
,3006,Riverview School District,Eagle Rock Multiage School,75,2.74
,3405,Skamania School District,Skamania Elementary,75,58.14
,5030,Crescent School District,HomeConnection,75,7.69
,1567,Spokane School District,Alternative Bancroft School,77,85.45
,1640,Puyallup School District,Phoenix Program,77,46.72
,4394,Summit Valley School District,Summit Valley School,77,76.62
,1848,Mukilteo School District,Special Services,78,20.25
,3205,Oakesdale School District,Oakesdale Elementary School,78,35.37
,4862,Clover Park School District,Lakewood Career Academy,78,71.64
,5258,Vancouver School District,Vancouver Contracted Programs,79,50
,2251,Centerville School District,Centerville Elementary,80,43.02
,2622,Palouse School District,Palouse Elementary,80,44.19
,3069,St. John School District,St John Elementary,80,37.33
,4167,Lake Washington School District,Northstar Middle School,80,0
,5021,Blaine School District,Blaine Home Connections,80,9.88
,5191,Hoquiam School District,Hoquiam Homelink School,80,61.54
,1558,Edmonds School District,Unassigned Special Education,81,7.78
,4022,Wapato School District,Pace Alternative High School,81,90.22
,2605,Wishram School District,Wishram High And Elementary Schl,82,98.84
,3723,Orchard Prairie School District,Orchard Prairie Elementary,84,0
,5257,Prescott School District,VISTA HERMOSA ELEMENTARY ,84,77.33
,2769,Odessa School District,P C Jantz Elementary,85,43.9
,5226,Selkirk School District,Selkirk High School,85,46.25
,1502,Snoqualmie Valley School District,Two Rivers School,86,38.18
,3068,St. John School District,St John/Endicott High,86,29.76
,4003,Port Angeles School District,Lincoln High School,86,64.71
,2550,Wellpinit School District,Wellpinit High School,87,65.33
,2665,Longview School District,Broadway Learning Center,87,72.03
,2693,Coulee-Hartline School District,Coulee City Elementary,87,50.56
,1657,Marysville School District,Heritage School,88,80.49
,1711,Tahoma School District,Russell Ridge Center,88,4.85
,3421,Lind School District,Lind Elementary School,88,64.84
,1915,Auburn School District,Special Ed School,89,39.47
,1975,Lake Washington School District,Stella Schola,89,6.67
,3418,Tekoa School District,Tekoa High School,89,52.27
,5112,Mount Baker School District,Mount Baker Academy,89,0
,5149,Vancouver School District,Vancouver Virtual Learning Academy,89,45.81
,3062,Trout Lake School District,Trout Lake Elementary,90,0
,3111,Lyle School District,Lyle High School,90,95.18
,3599,Institutions,Naselle Youth Camp School,90,1.12
,5065,Highline School District,Odyssey - The Essential School,90,80.77
,5212,Marysville School District,Marysville On-line Move Up Program,90,20.59
,5043,Central Valley School District,University Center,91,0.7
,5957,Wellpinit School District,Wellpinit Alliance - Yakama Nation,91,44.68
,2052,Tekoa School District,Tekoa Elementary School,92,67.37
,5075,Selkirk School District,Selkirk Elementary,92,57.3
,5057,Lake Washington School District,Renaissance School,93,5.56
,3554,Easton School District,Easton School,94,61.8
,2207,Endicott School District,Endicott/St John Elem and Middle,95,59.78
,3574,Prescott School District,Prescott Elementary School,95,90.91
,4107,Lopez School District,Lopez Elementary School,95,56.86
,1624,Issaquah School District,Issaquah Special Services,96,0.9
,2516,Boistfort School District,Boistfort Elem,96,63.83
,2973,Lake Quinault School District,Lake Quinault High School,96,89.9
,3495,Mary M Knight School District,Mary M Knight High School,96,46.39
,4272,Selah School District,Selah Academy,96,46.92
,1803,Mead School District,Mead Alternative High School,97,55
,2860,Almira School District,Almira Elementary School,97,42.11
,4002,Mary M Knight School District,Mary M Knight Elementary,97,69.23
,1645,Grandview School District,Compass High School,98,87.91
,2472,Wilson Creek School District,Wilson Creek Elementary,98,60.87
,1772,Walla Walla Public Schools,Homelink,99,17.17
,1907,Everett School District,Port Gardner,99,23.15
,2480,Loon Lake School District,Loon Lake Elementary School,99,83
,5248,Olympia School District,Olympia Regional Learning Academy B,99,21.65
,1540,Issaquah School District,Tiger Mountain Community High School,100,31.43
,5166,Central Valley School District,I-TRACC,100,57.55
,1539,Highline School District,CHOICE Academy,101,29.36
,1806,Monroe School District,Leaders In Learning,101,41.27
,3392,Bickleton School District,Bickleton Elementary & High Schl,101,0
,4246,WA State Center for Childhood Deafness and Hearing Loss,Washington State School for the Deaf,101,71.72
,5019,Yakima School District,Early Childhood Center,101,17.16
,1744,Marysville School District,School Home Partnership Program,102,49.56
,3494,Klickitat School District,Klickitat Elem & High,102,97.96
,2233,Mansfield School District,Mansfield Elem and High School,103,66.67
,2968,Coulee-Hartline School District,Almira Coulee Hartline High School,103,25.49
,3009,Chewelah School District,Jenkins Middle School,104,64.81
,3894,Mary Walker School District,Springdale Middle School,105,100
,2386,Waitsburg School District,Waitsburg High School,106,22
,1838,West Valley School District (Spokane),Spokane Valley High School,107,54.64
,3155,North Beach School District,Pacific Beach Elementary School,107,77.78
,3269,Wenatchee School District,Special Education School,109,5.67
,3404,Anacortes School District,Whitney Elementary,109,35.65
,5153,Yakima School District,Yakima Online,109,58.33
,1771,Shoreline School District,Home Education Exchange,110,6.25
,1784,Renton School District,Home Program,110,19.23
,2062,Northport School District,Northport Elementary School,110,82.41
,5241,Stevenson-Carson School District,Columbia Virtual Academy-SCSD,110,24.53
,2133,Paterson School District,Paterson Elementary School,111,97.27
,3788,North Beach School District,North Beach Junior High School,111,69.23
,5150,Kent School District,Birth to Age 2,111,1.9
,2161,Waterville School District,Waterville Elementary,112,60
,3662,Oak Harbor School District,Special Education,113,27.92
,1647,Bellingham School District,Options High School,114,72.48
,1815,Northshore School District,Northshore Special Services,114,0.85
,3918,Central Valley School District,Barker Center,114,55.86
,3011,San Juan Island School District,Friday Harbor Middle School,115,47.86
,3579,Republic School District,Republic Senior High School,115,46.3
,5279,Federal Way School District,Birth to Three Development Center,115,32.43
,2132,Ritzville School District,Ritzville High School,117,31.58
,2443,Odessa School District,Odessa High School,117,38.66
,2676,Trout Lake School District,Trout Lake School,117,0
,2493,Northshore School District,C O Sorenson,118,20.11
,1713,Tumwater School District,Secondary Options,119,44.8
,4215,Inchelium School District,Inchelium Elementary School,119,78.05
,2596,Kelso School District,Rose Valley Elementary,123,32.79
,3289,Wilbur School District,Wilbur Secondary School,123,37.82
,3829,Mount Vernon School District,Mount Vernon Special Ed,123,33.11
,2283,Oakville School District,Oakville High School,124,75.83
,3857,Aberdeen School District,Harbor High School,124,78.69
,1926,Evergreen School District (Clark),Evergreen Flex Academy,125,25
,5252,Northport School District,Northport Homelink Program,125,17.07
,1699,Bainbridge Island School District,Odyssey Multiage Program,126,4.8
,2632,Lopez School District,Lopez Middle High School,126,45.45
,3778,Seattle Public Schools,South Lake High School,126,78.2
,3972,Puyallup School District,Walker High School,126,58.27
,1854,Riverview School District,PARADE,127,12.21
,3575,Prescott School District,Prescott Jr Sr High,127,82.68
,4265,Snohomish School District,AIM High School,127,45.07
,5224,Yakima School District,Yakima Satellite Alternative Programs,127,50.49
,1825,Clover Park School District,Alfaretta House,128,7.43
,1922,Loon Lake School District,Loon Lake Homelink Program,128,1.6
,3135,Ferndale School District,Lummi High School,128,27.12
,4223,Brewster School District,Brewster Junior High School,128,96.85
,2868,Naselle-Grays River Valley School District,Naselle Elementary,129,50
,3290,Wilbur School District,Wilbur Elementary School,129,48.85
,8407,North Thurston Public Schools,Wa He Lut Indian School,129,7.27
,1594,Colville School District,Panorama School,131,62.66
,2389,Mount Adams School District,Mount Adams Middle School,131,97.74
,2407,Walla Walla Public Schools,Alternative Education Program,131,3.79
,3326,Cosmopolis School District,Cosmopolis Elementary School,131,48.53
,5302,Institutions,Washington Youth Academy,132,100
,1627,Yelm School District,Yelm Extension School,133,55.17
,1688,Lake Washington School District,Emerson K-12,134,6.99
,1768,Olympia School District,Avanti High School,134,27.92
,1910,Marysville School District,Marysville SD Special,134,34.29
,2514,Thorp School District,Thorp Elem & Jr Sr High,134,46.72
,5060,Edmonds School District,Edmonds Career Access,135,13.89
,3049,Lyle School District,Dallesport Elementary,136,76.22
,3112,Morton School District,Morton Junior-Senior High,136,50.69
,3422,Cape Flattery School District,Clallam Bay High & Elementary,136,47.97
,2397,Pateros School District,Pateros High School,137,69.34
,2770,Cusick School District,Bess Herian Elementary,137,63.49
